date,user_name,review,star
a month ago,Elsa,,5
a month ago,Prathap Kota,,4
a month ago,Gurin Tatiana,Perfect shop,5
a month ago,pabelaabcqx tp,,3
a month ago,Ọ̀nàọpẹ́mípọ̀ Gúreje,,5
a month ago,Shazia Adnan,"Always good tidy, less instore offers .",4
a month ago,Obaida kotainy,This is a big store and they usually have a huge collection of clothes. The prices are usually affordable. The staff are helpful and try to find the clothes for you if you have any difficulty.,3
a month ago,R Steel and cement,,5
a month ago,Janos Vince,,5
a month ago,Natalí Markiewicz,,4
a month ago,Sadiqua Begum,Good,5
a month ago,NIYA GLANCY,,5
a month ago,Judy Ramos,I find that this H&M is not layed out very well. They hardly have any clothing to choose from for boys over 8 years old. The options were very poor and same for ladies clothing. Styles are very boring and I have not been able to find …,3
a month ago,Terrence Baptiste,,4
2 months ago,Vineet Chopra,,5
2 months ago,Preeti Virdi,,5
2 months ago,Andy Mina,,3
2 months ago,sandeep nimbalkar,,5
2 months ago,kofi Asafo Adjei,,4
2 months ago,james Adebusoye,,4
2 months ago,Daryl Laudat,,4
2 months ago,Sławomir Szymański,,5
2 months ago,Ravi Teja,,4
2 months ago,Umar Cheema,Great all round shop with lots to offer. Clothes are cheap but tasteful/relevant,5
2 months ago,Razia Sulthana,,5
2 months ago,sakthivel Palaniyandi,Good winter collection 👌.  Reasonable price. …,4
2 months ago,Suraj Verma,,4
2 months ago,Petr Farnik,,5
2 months ago,BIJU C,,3
2 months ago,Ambreen Shoukat,,5
2 months ago,Sulay Wilmot,H&M as well was bought shopping and then find out clothes like it,5
2 months ago,Милка Дочева,,5
2 months ago,muhammad ali,Good stuff for ladies and children.,4
2 months ago,Zlatan Yordanov,,5
2 months ago,Noor Ahmed,,3
2 months ago,Adela Stan,,5
2 months ago,leo _the_leeman,,4
2 months ago,afternoon,,4
2 months ago,Eva Airapetjan,,5
2 months ago,konatham rohit reddy,,5
2 months ago,Таня Лилова,,4
2 months ago,Arulselvan A,Loved the collections,5
2 months ago,ina breiteriene,,5
2 months ago,H Begum,Two floor H& M store ground floor ladies and first floor mens and children.,4
2 months ago,Ionut Istrate,,5
2 months ago,Andrew Finni,,4
2 months ago,YX Z,I experienced racism! It's so bad.. The cashier asked to use self check service but didn't help me remove the security tag! When I came back home I found it still locked on my clothes.,1
2 months ago,Mehadi Sinbad,,5
2 months ago,Goutham Manohar.K.S,,4
2 months ago,Mr A,,5
2 months ago,Ken Robertson,,5
2 months ago,Oliur TANVIR,I like and prefer for all sort clothing but women and kids item are exceptional.,5
2 months ago,luis enrique valarezo silva,,4
2 months ago,sabda khan,Love the clothe and no particular style for each section . Children's section is always messy I do find it hard to shop here,5
2 months ago,Khodor Husseini,,5
2 months ago,Nakul Kp,,5
2 months ago,Roz H,,5
2 months ago,Marina Miscoi,,5
2 months ago,Ken Milne,Trailing round after my wife who actually bought something 😳 …,3
2 months ago,Vanya Milanova,Favorite,5
2 months ago,Helen Metcalfe,Always something wonderful and reasonably priced,4
2 months ago,Zohra Saib,,5
2 months ago,Oladipupo Sofowora,,5
2 months ago,SasiRekha Gangisetty,Good,5
2 months ago,Bottlebasket adm,,4
2 months ago,roman cosmin nicolae,,5
2 months ago,Charlotte Sands,,4
2 months ago,Khalid Assime,(Translated by Google) Huge store very simple and well stocked. Very fashionable and classic item. correct price …,4
2 months ago,Yanky Schwartz,,5
2 months ago,Fadwa Nounouh,,5
3 months ago,Olokun Tolulope,,5
3 months ago,ogunlana kemi,,4
3 months ago,Nadiya Begumw5,,5
3 months ago,sarina,,5
3 months ago,Cezar Tavares,,5
3 months ago,Gabriel silva,(Translated by Google) Excellent ready to wear store.  (Original) …,4
3 months ago,Chirag Pahuja,Excellent experience,5
3 months ago,Anto Hall,,4
3 months ago,Nilgün Pelit,,4
3 months ago,Maa Mai,,5
3 months ago,sstan Tan,,4
3 months ago,indrė žitinskaitė,,5
3 months ago,Forhad Hassan,,5
3 months ago,Pikachu,,5
3 months ago,"RONY,S VLOG",Very Unprofessional staff.  Manager kitty was such a rude person. Her behaviour was very unprofessional. We brought something from the shop but forgot to take the tags off. Apparently had to come back for this. Member of staff checked …,1
3 months ago,Leona Anita,"Good shop. Extream prices for small items if clothing, socks £9.99",5
3 months ago,Medley of activities,Large well kept store definitely one of the better h&m stores about,4
3 months ago,Sylvie Magoutier,"(Translated by Google) More eccentric than in France, I loved it  (Original) …",5
3 months ago,Tomas Sordo Fuente,,4
3 months ago,sadnoodle,"One of their employees literally shoved me out of the way when I was looking for something and was very rude, you guys really need to sort your staff out",1
3 months ago,Jatinder Singh,,4
3 months ago,filonxik,,5
3 months ago,MAB,,5
3 months ago,Umme Honey Maria,,5
3 months ago,Emma Plows,"Huge selection of clothing for men, women and children, although they left the security tag on an item, not a single person to assist me when the alarm went off at the door.",4
3 months ago,Vikram Parikh,"This is a big store and they usually have a huge collection of clothes. The prices are usually affordable. The staff are helpful and try to find the clothes for you if you have any difficulty. The store is usually more busier on weekends, but it is definitely good for your regular shopping.",5
3 months ago,daniela rolon,(Translated by Google) There are accessible clothes for Argentines  (Original) …,5
3 months ago,Josef McCauley,Best clothing in town.,5
3 months ago,Sanosh Fasal,,4
3 months ago,Success Story,,5
3 months ago,Kristina Crossman,I love this store and I am grateful for the help if I ever need to find something. staff go above and beyond to help,5
3 months ago,Girish Kumar,,5
3 months ago,Vic Clarke,,4
3 months ago,Poisonousemptysmile,,5
3 months ago,Copilul Richardo,,5
3 months ago,Natalia Machowska,,4
3 months ago,MuKuL Rahman,"Very big H&M inside Westfield Stratford. Has all the three sections men,women and kids.",5
3 months ago,moumita Rahman,,4
3 months ago,Викуся Кукуся,,5
3 months ago,Byulent Tahsin,,5
3 months ago,Amanda Fox,"Amazing styles with new, more ecofriendly options",5
3 months ago,Samira Mahmud,"H&M The have Beautiful collection of The clothes,Beautiful Colours …",5
3 months ago,Mark Lewis,,4
3 months ago,Neil Turner,,3
3 months ago,keshav janjam,"Good store located in the Westfield mall,.I don't like collection in H&M but they are at reasonable price.",5
3 months ago,Olga Brenik,,5
3 months ago,Alona Vasiljeva,,4
3 months ago,Ivis Mnzs,Very beautiful clothes and hiper modern... I loved it!!!,5
3 months ago,Людмила Ковбас,Super,5
3 months ago,CHORTKIV CONSTRUCTION COMPANY LTD,,5
3 months ago,Tboyjake,,4
3 months ago,Inappropriate Prisess,It’s a lovely place,3
3 months ago,Ben Armstrong,,5
3 months ago,Achim Fischer,,4
3 months ago,Himanshu,,4
3 months ago,shanker saxena,,3
3 months ago,beata woronowicz,,5
3 months ago,Priya Sweety,"Unprofessional staff, not all of them but the guy at ladies fitting room is very arrogant and he thinks the customers are his workers. Very disrespectful. This happened on 5th nov at 18:30.",1
3 months ago,Сюзанна Сплавская,,5
4 months ago,Keith Burnett,Good choice of clothes etc Staff was ok,4
4 months ago,Alessandro T,,3
4 months ago,sowmya d,No one to ask for help.,3
4 months ago,Noor Talib,,5
4 months ago,Kashif Nadeem,Beautiful clean store,5
4 months ago,Iwona Buczkowska - Sita,,4
4 months ago,Ben Yusef,A current fashion- house. Liked by the younger population which it serves well. Good displays and decent staff. It's a part of the Westfield complex with all its amenities.,4
4 months ago,Marian Dodu,"Big shop, large variety of clothes products and good prices. Sometimes a bit busy but is in a busy shopping mall so as expected. I recommend this shop for sure",5
4 months ago,Georgia,,4
4 months ago,Linda Appiah - Kubi,,5
4 months ago,Raindance Rave,,4
4 months ago,Kalaiselvi Balakrishnan,,5
4 months ago,R F,,5
4 months ago,sravan kumar,,5
4 months ago,ion vartic,,5
4 months ago,SURYA ROHIT Sambhana,,5
4 months ago,Zakia Khan,,3
4 months ago,Бодя Пелех,,5
4 months ago,Brandon Kalekezi,Smartly dress clothes to choose from A to Z friendly staff members and good prices on trousers.,5
4 months ago,ghena jinerenco,,5
4 months ago,Salvatore Orru,,5
4 months ago,Игорь Бессараб,,4
4 months ago,colin campbell,Visited to get a gift card.,3
4 months ago,Victoria Sojebe,The place is nice,4
4 months ago,Dharampal Reddy Mekala,,5
4 months ago,Rafiq Siddiqui,,4
4 months ago,Md Abdur,,4
4 months ago,ganesh NP,,5
4 months ago,imtiyaz,Not a good collection,3
4 months ago,Roberta Hornby,Music is always too loud,3
4 months ago,Shubho Khan,❤️,5
4 months ago,Patricia Feliciano,,5
4 months ago,Andreea Keller,,4
4 months ago,Henry Dyter,,5
4 months ago,Moriom K,A lot of stuff to buy but very busy always.,5
4 months ago,Vladimir Dimirev,,4
4 months ago,Brian Butterworth,Good quality clothes and good service from the friendly staff.,5
4 months ago,Christina Katsaouni,,5
4 months ago,Encho Delchev,Clothes for everybody.😁😁 …,5
4 months ago,dZatara,,5
4 months ago,cvDIMIDROL,,5
4 months ago,SANJU VARMA,,3
4 months ago,Robin Turner,,3
4 months ago,Nasir Uddin,,5
4 months ago,L J Hearn,,5
4 months ago,sonali hasija,,4
4 months ago,Francesco Buonarrivo,This is different because they have more clothes in respect the others H&M,5
4 months ago,Lajos Molnar,,5
5 months ago,Dáša Katreníková,,4
5 months ago,Muhammad Azeem,Nice and big stone has plenty of good stuff,5
5 months ago,Smruti Bulsari,,5
5 months ago,Hari M,Good,5
5 months ago,aditya golusula,,5
5 months ago,Sandra Kert,,3
5 months ago,REG nedi,Nice place to visit but very poor children formal clothes quality and no options.,1
5 months ago,Hebatalla Dessouki,Amazing 🤩 good stuff …,5
5 months ago,prudhvi reddy,,5
5 months ago,Hinnan A,,4
5 months ago,Jim Ludlam,Never there!,1
5 months ago,Syed Rezaul Hassan,Nice place to shop on...,5
5 months ago,De Clem,,5
5 months ago,Sarah Sutton,,5
5 months ago,Asif Uddin,,5
5 months ago,Zaysh Sk,,3
5 months ago,faisal mridha,,5
5 months ago,Andy Jones,,4
5 months ago,Ahmer Khan,I wanted school uniform and they had nothing. Thought they should of had a range at least. Its a really big store.,2
5 months ago,Viktoriia Metenko,,5
5 months ago,Yagnik Patel,,5
5 months ago,Maria Belén Ramos,,5
5 months ago,Виктория Федорович,,3
5 months ago,Richard watson,Good quality,5
5 months ago,Nágila Mariana,,5
5 months ago,Andrew Steadman,"Amazingly had several pairs of , last season colour, trousers in the colour I needed and one pair in the size I wanted. Decent quality and a reduced price  what is there not to like?",5
5 months ago,matthew rimmer,Amazing range at the moment,5
5 months ago,Guranda Nataşa,,5
5 months ago,Vally-G Neomagicpro,,5
6 months ago,Lankai Lamptey,,4
6 months ago,AJ,,4
6 months ago,Nanda Kumar Vishvanathan (Nanda_vishvanathan),,4
6 months ago,Fatiha Gsm,There is a lots of Hijabi tunics and dresses.,4
6 months ago,Marian Boboescu,,3
6 months ago,Kamal AHMED,,5
6 months ago,Nick Pashley,,4
6 months ago,Mukesh patel,,5
6 months ago,Oliver Findlay,Huge H&M best one yet,5
6 months ago,Christabelle,"Always pop into H&M at some point when we go to Westfield Stratford. Spread over a few floors and with ever changing offerings, there is always something for everyone. Good range of clothing, including sportswear and maternity. Interior is bright and spacious with lots of eye-catching displays which is nice.",5
6 months ago,orinthia williams,,5
6 months ago,Onyinye Ochugbua,Nice shop.... got some pretty stuffs,3
6 months ago,Ha Khuong,I bought 3 items at this store at around 8:30pm on 15 Aug but the staff just packed 2 items into the bag. I came back to ask for camera check but they promised to check in the next day then contact me via my phone number even it was the …,1
6 months ago,Raihanul Islam,,5
6 months ago,Elias Rogério da Silva,,5
6 months ago,Md Moniruzzaman,Gradually the options are reducing. Could be for the COVID and Wars. But I like this place for my child.,5
6 months ago,Sanjeev Pandey,,5
6 months ago,Sonia Hallam,"The worse H&M I have ever visited, rude staff and that is the only way that they excelled",1
6 months ago,morenikeji adedeji,🥰 …,5
6 months ago,Anderson Gabrielli,,4
6 months ago,Sumi Rejoice,,3
6 months ago,Stephane Cheveau,,1
6 months ago,Paramasivam Sritharan,,4
6 months ago,אלי צור,"(Translated by Google) The store on Oxford Street in London, a large selection, the sales team is neither courteous nor helpful …",4
6 months ago,D H,,4
6 months ago,Ayse Mehmet,Very nice store. I usually order online. But it was very nice visiting the store.,5
6 months ago,Female Tiler,"Big store spread over 3 floors. Spaced out really well, everything was easy to find!",5
6 months ago,Farhana Mahroof,,5
6 months ago,Rafid Ibne Jalil,,4
6 months ago,Paulina Zima,,4
6 months ago,Harold Wilfred,,4
6 months ago,NAJEM Ghraibeh,,4
6 months ago,Alexandru Covaci,,5
6 months ago,Farzana Chaity,Love it,5
6 months ago,Mohit Jain,,3
6 months ago,roshan mathew,,4
6 months ago,Sruly Gross,Fully stocked,5
7 months ago,Krümel Kekschef,,4
7 months ago,Anica Nistor,,5
7 months ago,The Bester,Nice store,5
7 months ago,Hussain Patel,,3
7 months ago,Md Tanvir Alam,,5
7 months ago,Helena Bieńkowska,,5
7 months ago,Izzi Dreme,,5
7 months ago,Azhar Mubin,,5
7 months ago,Dean James,Situated in Westfield shopping centre. You will find cheap clothes,4
7 months ago,Av “Anonymous” B,,5
7 months ago,Owlie Wise,Useful for recycling,3
7 months ago,milda milly Griffiths,,4
7 months ago,Nayna Danke,,5
7 months ago,Ahad Khan,,5
7 months ago,Christos Ispikoudis,,4
7 months ago,NADINE WILLIAMS,,1
7 months ago,Ricky6981,Good range of summer wear. Really good prices and the quality is good too.,4
7 months ago,Olajumoke Grace,Another favourite shop,5
7 months ago,Sylvia Talbot,Love this place always find something there i like.,4
7 months ago,Teresa Lancaster,,5
7 months ago,Renan Silva,,4
7 months ago,Marcela RCampos,,5
7 months ago,Syed Shah,Shopping,5
7 months ago,Stefan Henrique Schluep (S.H),Don’t like self check out. I’d rather be served by a human.,2
7 months ago,Chris Ahmed,Not great,1
7 months ago,RPG,"I have always found this shop very reliable as well as decent fashion. I am a man, so I come in one day in search of a kimono. I found a cream coloured one that also had a price cut to £20. I bought it and it matches my style, holla at your boy, bless.",4
7 months ago,Venkataswamy Mogili,,5
7 months ago,titi afolabi,The shop is on sales this Summer.. a good time to visit.  The counter lady was so pleasant and customer friendly.,4
7 months ago,Hamzah Islam,,3
7 months ago,Stephen,,5
7 months ago,Warren Briggs,Hardly any staff and only has plus sizes online and not instore which is quite discriminatory for modern day.,2
7 months ago,peruse aclip1234,I'm looking forward to getting my beautiful sequin dress here ear to wear for a night out out this weekend. It costs £35 and it's ridiculously gorgeous.,4
7 months ago,Krisztina Tóth,,5
7 months ago,Swapnil Kambli,,4
7 months ago,Tahira Ahmed,Very good value for money. Excellent variety of clothes and accessories.,5
7 months ago,Helena Markulis,Good,4
7 months ago,Mircea Sabau,,3
7 months ago,Krisia Todorova,Quick checkout and returns thank you,5
7 months ago,Domenico Monardo,Sale clothing not good,4
7 months ago,faisal ma,"(Translated by Google) The store is large and has a variety of goods, but the prices are very high …",2
7 months ago,User User,,4
7 months ago,Juana Matos,,5
7 months ago,Osct,,3
7 months ago,elena moga,,4
7 months ago,alina salcudean,,5
8 months ago,Gordon Ellis,Not much for grown ups here.,2
8 months ago,Lisa Fletcher,"Store layout makes no sense, it is hard to find items and the never seems to be any staff on the shop floor to ask for help.",2
8 months ago,Leonard Ngemoh,,5
8 months ago,Leslie Tabi,"We also went to H&M on our rounds, you men know how it is when shopping with the other half, in the store that had fantastic bargains and deals in the children's department lots of styles, colours, shape and sizes.The prices at that time …",5
8 months ago,Ellie Cockburn,,3
8 months ago,Azmal,Two floor H& M store ground floor ladies and first floor mens and children. Has decent variety of clothing for all age and gender.,4
8 months ago,Md. Al-Mamun Masum,Good products,4
8 months ago,Alexandra crooke,,1
8 months ago,A Y,,4
8 months ago,Kazi Shamim,,4
8 months ago,Enchev Encho (ENNCH),,3
8 months ago,Abdul Haseeb Punakkath,Lots of option for clothing.two floors as well,4
8 months ago,JoEl SEBASTAIN,,3
8 months ago,Sree lekshmi,,3
8 months ago,gianpiero simeonidddfâssvb,,5
8 months ago,Ximena Guerra,,5
8 months ago,khatija someone,,4
8 months ago,Kenny Osula,,5
8 months ago,Daria Popova,,4
8 months ago,זיו כהן,,3
8 months ago,Stuart Chambers,,5
8 months ago,MAngeles Parra Zambrano,,5
8 months ago,Md Keiser Hossain,"Very helpful customer services… I went to the store for a refund which is 9 months ago, but I have to explain briefly my situation… And the manager gave me the refund… “Trust is a valuable asset for both side”… Truly appraisable…",5
8 months ago,Nandeesh Thm,,3
8 months ago,Seth Twum,,4
8 months ago,Zubair Ahmed,,4
8 months ago,Sabah Meftah,Very Nice,5
8 months ago,Susan Bennett,,4
8 months ago,Fb:yoanrostashiperion Gogomarla,,1
8 months ago,Srikanth kumar,,2
8 months ago,neil pickard,Great had everything that we wanted!,5
8 months ago,abiola faluyi,,4
8 months ago,Dan Mudura,,3
8 months ago,Barbara Campos,,5
8 months ago,vera acquah,,4
8 months ago,Peter Harris,,5
8 months ago,patricamensahpatrici,"Clean shop, clothing in good order  with a great customer service skills.",5
8 months ago,miguel Alex,Limited stuff for men and not always the best quality the but during sales you can grab a good bargain,4
8 months ago,Deni Stetina,,5
8 months ago,Deepak Dinkar,,5
8 months ago,Abdi Omar,"I love H&M but need who staff work more customer, I saw some them didn't know self check, staff rude show scan them then they left item lol.",3
8 months ago,Johan Harmse,They seem to have sacked 80% of their checkout staff and replaced them with ineffective self checkout terminals that most people seemingly can't operate.  I was queuing for about 20 minutes today with no movement before giving up and …,1
8 months ago,Haci A,,5
8 months ago,Derick Otoo,,3
9 months ago,Ramona campeanu,,3
9 months ago,Галя Гулька,,5
9 months ago,Faisal Mridha,Wow,5
9 months ago,Miroslav Fejfar,,4
9 months ago,Hedvig Fibi,,5
9 months ago,richard cullinane,Good place to shop,5
9 months ago,Prasundeep Bhaduri,Nice choice for shopping in London,5
9 months ago,Sumayya F,"Customer service is appalling. I had questions about where the shoes were so I went up to a lady who I’m assuming was the manager (brunette, white) and she wagged her finger no at me and walked straight past me and I went up to another retail worker and she had a lot of attitude when I asked her. Disgusting",1
9 months ago,Mihai Mke,,4
9 months ago,Roxana David,,5
9 months ago,Cecilia Licata,,3
9 months ago,Dean of Knights,Nice place for shopping  good quality  and reasonable  price  and its for family  members,5
9 months ago,Viktorija Žitinevičiūtė,,5
9 months ago,Humble Queen,Rubbish customer service who laugh in your face for mistakes they make very unprofessional staff need training on communication and manners,1
9 months ago,florett brown1963,Looks confused..,3
9 months ago,Farooq Chaudhry,,4
9 months ago,Shazidul Huda,,5
9 months ago,Bohdan Turko,,5
9 months ago,Syed Shadab Madni,,5
9 months ago,Annette Stewart,Went into the store to buy things that I like and was very happy when I leave the store.,5
9 months ago,Anita,,5
9 months ago,Nana Bee1820,,5
9 months ago,carole platt,,4
9 months ago,Alberto Ilario,,5
9 months ago,Aqeela Patel,,5
9 months ago,Shaikh Razik,Come on H&M is one of the best brands and it's so good . No comments on this one,5
9 months ago,Suzie Bonsu,Good space with good options . I love the homeware section more,4
9 months ago,Mohan Venkatesh,My happy place for shopping everything,5
9 months ago,Carl Watt,"The visit was with my mother and 2 year old son, who was in his push chair. We had a really good experience shopping for my son. There were lifts available that can take you to all levels of the store. …",5
9 months ago,JJ B,It's H&M. Good selection. Clean and tidy. Not too crowded.,5
9 months ago,Mr Jason,Terrible customer service.  We struggled to self check and there was no one to assist us. After waiting over 5 minutes for assistance we had to go to try and find someone for help.  We couldn't find anyone on the floor.  Eventually a very …,1
9 months ago,Ana Bologa,,5
9 months ago,Adrian Mihailescu,,4
9 months ago,Jan Goode,Very nice,5
9 months ago,Kuba Wilk,,4
9 months ago,Muhammed Iqbal Chowdhury,Reasonable price👌👌 …,5
9 months ago,Polina D,,3
9 months ago,S,Rudest workers I’ve ever had to interact with.,1
9 months ago,Ian Armstrong,,3
9 months ago,Sumita Sarkar,,5
9 months ago,Adulai Balde,Excellent customer service still 💯 …,5
9 months ago,Quratulain Tariq,,5
9 months ago,Bunmi Ayodele,,5
9 months ago,Настя Матвеева,"There is always a discount section besides popular h and m models, not a bad choice of underwear, home department is small so no blankets etc.",5
9 months ago,Dr Quack,,4
9 months ago,Sue Marsh,,3
9 months ago,CG Dwarakanath,,4
9 months ago,Krystal Krystal,,5
9 months ago,Abul Kalam,,5
9 months ago,marius ciprian ailincai,,5
9 months ago,Sharmisa Ali Shanta,,5
9 months ago,Danuta Bochniarz,"(Translated by Google) Very little choice, no helpful staff in sight  (Original) …",1
9 months ago,M Rosul,Brand,5
9 months ago,Alnisa Mary Alfred Clement,,5
9 months ago,Nemanja Krivokapic,,5
10 months ago,Prince,Nice,4
10 months ago,Annamaria Antonazzo,,4
10 months ago,Mark Haberfield,,5
10 months ago,Aiesha Aziz,Organised shelves and found what I wanted. Thanks,5
10 months ago,Irina Dumitrescu,,2
10 months ago,Max V,,5
10 months ago,Petkoo Mladenov,,5
10 months ago,Ahmed Jafar,,3
10 months ago,Wyaes khan,,4
10 months ago,mohamad itani,,4
10 months ago,Rakim Ahmed,Nice,5
10 months ago,Biray Gulmez,,5
10 months ago,hassan behcet,,4
10 months ago,Alessia Ramella,,3
10 months ago,Argiris Georgiades,,4
10 months ago,Luciana de Morais,"Average HM store. Often lack size S in a lot of items, but still ok.",4
10 months ago,Dress Too Impress Empy Galeano,,3
10 months ago,Bruno Cleps,,5
10 months ago,Sev Berk,"Definitely recommend a visit, great styles at good prices, quality is a plus too. Its nice to visit a shop whereby you can browse easily and see everything instead of overstocking and you can't easily find what you are looking for.",5
10 months ago,David,,5
10 months ago,shazia ali,,4
10 months ago,Dipmala Vanza,,5
10 months ago,Melek Coskun,,4
10 months ago,Roxanne Barry,,5
10 months ago,Karen Francis,,4
10 months ago,Danny Yordanova,,5
10 months ago,Dibs Photography,,5
10 months ago,Steve Billett,,5
10 months ago,Victor Durojaiye,,4
10 months ago,Malathi Chowdary,We love it good sale at all the time I remember India always,5
10 months ago,Mustafa Sakr,,5
10 months ago,Caroline Gibson,,4
10 months ago,Atanas Atanasov,,5
10 months ago,Donnie Bruno,Best value,4
10 months ago,Saira Patel,,4
10 months ago,Shahina Akthar,One of my favourite shop to buy to do shopping for my children,4
10 months ago,Leo A Oreilly,"Kids,clothing from casual to suits for 10 year old are amazing, both in taste and value. westfield store only second to regent Street as both shops top shelf",5
10 months ago,Sudeep Tuppad,,5
10 months ago,Akbar Ali,,3
10 months ago,Sergiu Radu,Worst company,1
10 months ago,Karolos Arapakis,Great collection!,5
10 months ago,Zubi Zafar,,3
10 months ago,Carolann Philpot,great selection,5
10 months ago,Sylvia Marquart,,4
10 months ago,Mitesh Patel,Best and varied chooces,5
10 months ago,Kathy Bandeira,,4
10 months ago,Abduraxman Sheekh,It's good,2
10 months ago,Priyanga Ugorji,,4
10 months ago,Olajide,,5
10 months ago,priyansh khandelwal,,4
10 months ago,Rawad Dagher,,5
10 months ago,Sarah Bature,,5
10 months ago,salim abdallah,,4
10 months ago,Terra,,5
10 months ago,Flavio Ferreira,,4
10 months ago,Fátima Aguiar,,5
10 months ago,Kumar Deepak D,,4
10 months ago,Scott McCormick,"Kids clothing is cheap, cute, cool, and well stocked",5
11 months ago,Mike Fairhurst,,5
11 months ago,Esthybrown,Not bad but most of the things are online not instore,5
11 months ago,Moldovan Ina,❤❤❤,5
11 months ago,Bakary K Jammeh,,5
11 months ago,Ali Madab,Nice job 👌 …,3
11 months ago,Carla Tavares,,5
11 months ago,Palthiya Rajkumar,,5
11 months ago,Akash Aji,,5
11 months ago,van jean,,3
11 months ago,Diego Martin Vazquez Nanini,,5
11 months ago,Ilie Musteata,,5
11 months ago,Angela Rohanathan,It is a good store. I enjoied scanning through items and I found what I needed and purchased.,4
11 months ago,Steve Evans,Staff genuinely trying to be helpful but the store layout was confusing even for them.,4
11 months ago,Ana Alicia Infante Perello,(Translated by Google) I loved it  (Original) Me gustó mucho,5
11 months ago,Keshia Moulton,Love the clothes from here especially the children's range 😍 …,5
11 months ago,Ioana Giovanna,,4
11 months ago,Ashley,Very large selection and multiple checkouts,5
11 months ago,Farzana Anjum Meghla,,2
11 months ago,Mihaela Clinci,,5
11 months ago,Mafia Rahmanyy,,5
11 months ago,Shah Deep,,4
11 months ago,Hansel Le Patric,,3
11 months ago,atanda kehinde,,5
11 months ago,Ana Maria I,,5
11 months ago,rohith Munigala,,4
11 months ago,Ravi Prasad,,4
11 months ago,Roja Uppalapati,,4
11 months ago,Raluca Ciuraru,Nice style poor poor quality for the prices they have!,1
11 months ago,Ana_stratila,,5
11 months ago,Kudiratu Lawal Yusif,,5
11 months ago,Ravendra Singh,The shop is nice having vast variety of cloths. You can get clothes of your choice here at reasonable prices.,3
11 months ago,John Newman,Been in here a couple of times now. Very nice. More soon....j,5
11 months ago,RAHANA QURESHI,Very nice,4
