date|user_name|city|country|star|review
2019|neety shroff|London|UK|1|"this h&m hassomany choices and varietiesjuat that the guy who was handling the trial room was very impolite and rude. as me and my sister were planning to enter the trial room to try the dresses he stopped us saying we can't go together which my sister did not understand what he was saying as other h&m stores always allows plus we had a baby. as she moved ahead he said "" do you understand what i am saying. sorry what is this way of speaking with client asking do you understand.? at this i was very surprised to his way of talking with the clients. sorry to say but please train that guy how to speak with clients and to use polite terms and gentleness in speach than trying to flaunt his style and rudeness. i lost the mood to even buy the clothes and i just tried them and hand it over to him. he needs to tone down his way of speaking. i don't know his name but he was speaking italian and had dreads hair. i wanted to complain right away but was so annoyed and upset that i just walked out of the store."
2019|Mariya Dimova|London|UK|1|"hello, yesterday at 4.15pm while i was looking at selling clothes, someone stole my wallet from my bag. i immediately noticed your security guard that were near the exit . he wasn't helpful at all, just said"" what can i do?"". you should have cameras and view the recorded immediately because the thief was still in the shopping centre and even in your store to rob some of your other costumers."
2019|Rania Rahman|London|UK|1|absolutely appalling customer service!!! would never shop here again. this is the flagstore in london and was shocked to recieve such poor customer service by its sales assistant. waited in the queue for more than 20 minutes on the main floor with only 3 sales assistants on the till with over 20 customers waiting to be served. when i eventually reached the top of the queue one the sa's signed out leaving only 2 members of staff on the tills. what appealed to be a manager, mumbled over tanoy for other sa's to come onto the tills, no one arrived, the music was also too loud. waited a further 10 minutes to finally be served with what was an insensitive and crass sa. when i complained to her she was unapologetic, inconsiderate and unconcerned with the fact that loyal customers had been waiting for more than 20/30mins. wouldn't recommend this store in a million years. its a shame as h&m clothes are lovely and as the flagship store that represents london/england it has been thoroughly let down by its lack of well trained curteous staff. p
2020|Ramy Ma.|London|UK|1|the staff has forgotten the tag on the clothes,didn't realised until i got home. so i had to returned and waisted 2h traveling because of staff mistake. the manger has just appologies,belived it should have been fair to pay for my time
2022|Humble Queen|London|UK|1|rubbish customer service who laugh in your face for mistakes they make very unprofessional staff need training on communication and manners
2020|booky zee|London|UK|1|i went to westfield stratford i always enjoy shopping at h&m today i went to the store i been served by lady called diena i bought two item to exchange one item was over 27 days i am only allowed to exchange i said that's fine when i bought new clothes she lift it on the and asked me to pay the deference then i said why did you not exchange she said in a rude way i already made the transaction i said then you have to refund this trouser and then i can exchange the item she gave me a dirty look i said you waste my time and yours time she rippled back in a rude way if you are not happy leave your feedback on the website and then i said you are rude can i see your manager she called the manager i said she is rude to me guy working next tell his name was t.j response was to me you are rude i saw you manger standing out there and doing nothing and everyone in the shop are watching us i said this is very unprofessional manger didn't say nothing apart for that what need to do i said leave it and he said its fine you can go lady i said i think your staff need costumer service training while i am leaving dienien gave me a dirty smirk and no apologise.
2022|Sean Taylor|London|UK|1|very very slow on the tills. lack of staff. if paying in cash is a nightmare waiting ages just to pay for 2 things
2018|J B|London|UK|1|i happened to venture into there new store in stratford,. why do they put woman's clothing next to the mens ? i found the men's section cluttered and disorganised with a boring selection. i was informed by the staff when i managed to find one, to look online. what!!! poor customer service
2020|Daniel Trzepizur|London|UK|1|whenever im buying anything from h&m the clothes after 3-4 weeks are not suitable to use anymore. plenty of holes everywhere etc. can't believe that primark is way better in terms of quality...
2022|Raluca Ciuraru|London|UK|1|nice style poor poor quality for the prices they have!
2019|Zora Ahmed|London|UK|1|hate this store.the security guard is useless and the store manager on the bottom floor is so rude and racist!! my phone got stolen and store manager didnt care made me go through more stress. never have been treated with that much disrespect i use to love going to this store before. never again!!! made a complaint to head office!!
2021|Maja Arminovska|London|UK|1|staff can't calculate, i bye 3 for to, 2 of them 6 one 8, and i returned that from 8 for oder from 6, and payed them more re money how is possible i will never shop for h&m on stratford
2022|Yusouf Khan|London|UK|1|poor shopping experience as the staff were non existent and disengaged.
2019|Aga Wa|London|UK|1|ordered something on-line. wanted to return at the store as item not as expected. was advised i need to contact with the customer service after paying for the parking and spending time in a long queue. very disappointed.
2019|Josh Zahid|London|UK|1|very poor customer service , was there on friday 2 november 2018 between ( 6/7pm) , they had no bags in store . manager just keep saying sorry, no action , top of that they charged me 5p for a small paper bag ???? i thought we get charged just for plastic ?? felt so horrible , i had lot of stuff couldn't fit everything ( jackets / jeans / jumpers ) in small 5p bags . end up carrying everything in my hand ... so discussed
2019|Z Huma|London|UK|1|clothes are nice but music is far too loud. i see people leaving after having their eardrums burst just by walking into the store.
2021|Aantiloveni|London|UK|1|closing the fitting rooms att 45? make me sad that costumer service is this bad. not that sad about the fact that i'm not coming back tho.
2020|Ashley Coppin|London|UK|1|came in for click and collect. after waiting for 10 minutes at the pick up point i had to queue up in order to speak to a member of staff. who then sent me back to the collection point and after a few minutes a very rude girl name adina came and made the experience even worse. i am extremely disappointed with the level of service provided.
2022|S|London|UK|1|rudest workers i've ever had to interact with.
2020|Samb Clements|London|UK|1|everything in there is designed to make you feel ugly. it is terrible. do not enter.
2020|Claire G|London|UK|1|shelves look like a jumble sale. staff rude, pushing past customers and grumpy at checkouts
2020|Chris Howe|London|UK|1|google map pin is in the wrong location. this store is in westfield stratford. not near liverpool street station
2020|MÊŢÂЛЛИÇŤ|London|UK|1|plenty of metallica t-shirts but no metallica hoodie. disappointed
2022|Chris Ahmed|London|UK|1|not great
2018|Erik Williams|London|UK|1|worst hm in the world, staff is rude, the place is a mess, don't go there for the love of god
2021|Zafarjon Khalilov|London|UK|1|it was awful experience during covid. especially, manager erica!
2017|nakia Rashid|London|UK|1|every time i've popped into h&m, i've come across a store with no sales assistants.
2019|Stephen O'Connor|London|UK|1|very busy, nothing special, lots of sales but nothing that jumps out at you
2019|Adr Smith|London|UK|1|not a great selection of man's clothing while female have two three floors..
2022|Jim Ludlam|London|UK|1|never there!
2019|J G|London|UK|1|very bad customer service, staff not professional, no manners
2021|JOHN Boy|London|UK|1|is there any staff who actually work here
2022|N C|London|UK|1|rude staff in fitting rooms.
2021|Billy Jhon|London|UK|1|poor service
2022|Sue Faulkner|London|UK|1|didn't go there
2020|LJ Dellar|London|UK|1|loud music makes it difficult to hear and be heard.
2022|Sergiu Radu|London|UK|1|worst company
2020|Jon Giuliani|London|UK|1|not there
2022|Amina Noore|London|UK|1|too crowded
2020|Wyimaginowany|London|UK|1|small size
2019|Will Chan|London|UK|1|rubbish
2020|Ashley Gerten|London|UK|1|this is the wrong location!
2020|Tom Galvani|London|UK|1|absolute chaos
|Maria Jose Leiva|London|UK|1|staff were so incredibly rude as if the atmosphere in and h&m isn't already awful enough. the new self check out is ridiculous and i felt judged by staff for not being able to use it properly like i'm supposed to know the procedures.
2022|Danuta Bochniarz|London|UK|1|very little choice, no helpful staff in sight
2020|Ion Rosca|London|UK|1|they make poor quality clothes
2021|Mahmuda Hossin|London|UK|1|
2020|Silvia Slv|London|UK|1|
2020|Caroline Tarrago “Miniaturellement”|London|UK|1|
2020|Zahra Dell|London|UK|1|
2022|K Kudunov|London|UK|1|
2022|Yamin miah|London|UK|1|
2020|Darragh Mac Ardle|London|UK|1|
2019|Solange Mendonca|London|UK|1|
2020|Teresa Pabis|London|UK|1|
2021|mostoba hammad|London|UK|1|
2019|Danny Hearne|London|UK|1|
2020|Hyperion|London|UK|1|
2019|v R|London|UK|1|
2022|Ivo dimov|London|UK|1|
2017|Shanice Harper|London|UK|1|
2019|mazar saleem|London|UK|1|
2020|Renata Ražinskė|London|UK|1|
2020|bonyfaso carvalho|London|UK|1|
2020|Vaida Usevičiūtė|London|UK|1|
2019|Ricky Taylor|London|UK|1|
2019|Ioan Timis|London|UK|1|
2019|Andrea Marosi|London|UK|1|
2021|Deep Prakash Yadav|London|UK|1|
2022|Fb:yoanrostashiperion Gogomarla|London|UK|1|
2019|shazia y|London|UK|1|
2019|keeley Harvey|London|UK|1|
2022|Alexandra crooke|London|UK|1|
2020|Marwa Gheedan|London|UK|1|
2021|David Jones|London|UK|1|
2022|Stephane Cheveau|London|UK|1|
2018|Elaina Wilding|London|UK|1|
2021|Mohammed Zoheb Shaikh|London|UK|1|
2020|Victor Ciubota|London|UK|1|
2020|inaara aftab|London|UK|1|
2019|Zeynep Sahin|London|UK|1|
2020|Santa Pettinato|London|UK|1|
2016|Shaun Marshall|London|UK|1|
2022|R Saira|London|UK|1|
2022|NADINE WILLIAMS|London|UK|1|
2022|Antonio Nogueira|London|UK|1|
2022|Claudia K|London|UK|1|
2019|Den Cogan|London|UK|1|
2019|Silvia|London|UK|1|
2022|parvez biswas|London|UK|1|
2022|Noizy Hill|London|UK|1|
2019|Lyse C|London|UK|1|
2019|Eve Gough|London|UK|1|
2022|Charlie Bradley|London|UK|1|
2020|Christine McDonald|London|UK|1|
2023|Lavender Courage|London|UK|2|"i visited on the 24th and bought a few items. the store itself was clean and everything was easy to find. i went to pay in the men's section. i was third in line. a member of staff highly encouraged us to use the self-service rather than speak to a person, quickly explained the process, and said she'd get me a bag. i scanned the first item, no luck, had to wait for the staff member. she's next to me, explaining to a man and woman how they're not using it right. it's at this point the staff member says, ""let him do it. men are better at it."" i was mortified. the staff member then has to stand and scan all my items for me as none of the barcodes work. she walks off as i pay and i am left waiting for a bag. i have to alert the cashier i originally wanted to buy from and they get me a bag instead. all three people could have been served by the cashier in half the time if this staff member had just left us alone. upon arriving home, i realize they haven't removed the security tags from two of my items. i now have to go back out (i'll be going to my local one in norwich, not this one!!) and get the tags taken off before i can wear my purchase. awful service and i can't believe what was said by your staff."
|Suyash Nowbut|London|UK|2|the cashier and some of the staff were racially profiling customers (black and brown mostly) and treated them differently had a very bad experience
2022|Patrycja Sochran|London|UK|2|very disappointed with 16th century fashion that has arrived at h&m. quality of clothes is a lot of the time questionable. however the shop is tidy and staff is nice
2022|Ahmer Khan|London|UK|2|i wanted school uniform and they had nothing. thought they should of had a range at least. its a really big store.
2022|Chelsea Andrews|London|UK|2|"beautiful range of clothing and sizes the only problem was the staff at the tills. approached the tills with my items and two young girls were completely ignoring my presence while serving me talking about harry potter and what houses they were in the only thing i got from the girls were ""thats 15"" and a ""bye"" after i paid. either the manager didn't care for how they treat customers or they just have the poorest customer service skills ever and should the company should reconsider their staff or get them retrained"
2022|Lisa Fletcher|London|UK|2|store layout makes no sense, it is hard to find items and the never seems to be any staff on the shop floor to ask for help.
2022|Warren Briggs|London|UK|2|hardly any staff and only has plus sizes online and not instore which is quite discriminatory for modern day.
2020|Andrew Brown|London|UK|2|am starting to not like shopping here.. they seem to cater to people that only wear slim fit jeans pants.. i can't find a boot cut or straight fit jean's pants to safe my life.. and they only had one jacket line like really summer is over where are the winter collections?
2018|Ro Lewin|London|UK|2|"you'd think with this new much bigger store they'd have more staff but they don't. there's always a queue on every floorostly because these rarely more than 3 people on the check out. because it's a new store staff don't know where anything is and seem unwilling to show you. i was simply directed to ""upstairs"" when i asked for something. went check out and even tho the queue was more than 20 people deep, someone actually jumped off the cashier to hang clothes up. very annoyed!"
2023|Anita Graham|London|UK|2|untidy shop with no customer service
2022|Stefan Henrique Schluep (S.H)|London|UK|2|don't like self check out. i'd rather be served by a human.
2019|Dan Nuk'em|London|UK|2|disgustingly busy, but it's the weekend. good range of clothes, even if not my style. the service was slow, even for a weekend. i'd avoid this place at all costs.
2019|Shobnom Ahmed|London|UK|2|the h&m home section in the stratford branch is beautiful, but the staff in the home section are so unwelcoming. no smile and they make you feel awkward. really puts me off going there.
2021|Munawar Jafferali|London|UK|2|it so so there is not much things in a.y stores
2019|Mrs Aragon|London|UK|2|although this branch has homeware, nightware, lingerie, sports and the usual men, women and children's, i was not impressed. been to better laid out and stocked branches.
2022|Sarah McKay|London|UK|2|the quality of clothes has gone down drastically since the pandemic, what a shame, it used to be my favourite store
2022|Kevina Nambula|London|UK|2|never staff to help you. it's almost like they are shortly staffed
2022|Gordon Ellis|London|UK|2|not much for grown ups here.
2020|Abbie|London|UK|2|would give a 4 if they didn't leave security tags on items second time a row!
2020|Radina Kaneva|London|UK|2|customer service is terrible!
2019|Mahmud|London|UK|2|good collection but bad customer service during the christmas, she didn't even look at me, and it wasn't busy.
2022|Abduraxman Sheekh|London|UK|2|it's good
2020|Katherine Louw|London|UK|2|nothing available over a 12. staff difficult to find and disinterested.
2022|Fatima zahra Boutahar|London|UK|2|no options for petite taille
2022|SYED HAYDER|London|UK|2|poor customers service
2019|lakshayaa balaji|London|UK|2|goood
2018|Ash|London|UK|2|always busy
2022|faisal ma|London|UK|2|the store is large and has a variety of goods, but the prices are very high
2019|Daniella Oliveira|London|UK|2|good prices but looking for clothes by size on the label is a struggle
2022|Howling Mad|London|UK|2|
2021|Nadia Macauley|London|UK|2|
2022|Farzana Anjum Meghla|London|UK|2|
2022|Irina Dumitrescu|London|UK|2|
2019|mishka petrozavod|London|UK|2|
2021|Milen Yordanov (fenomen- Daniel)|London|UK|2|
2022|Andy de la Pole|London|UK|2|
2022|Kerry Addis|London|UK|2|
2022|Alessandro|London|UK|2|
2019|hana mezni|London|UK|2|
2022|Jignesh Panchal|London|UK|2|
2019|Arion Sejdia|London|UK|2|
2019|Christopher Gabriel III|London|UK|2|
2020|Jovana Ivanovic|London|UK|2|
2021|C Holn3ss|London|UK|2|
2019|Andrew Thomson|London|UK|2|
2020|Ovidiu Harastasan|London|UK|2|
2021|Neha Babbar|London|UK|2|
2019|mahmud hussain|London|UK|2|
2022|sarah jane laming|London|UK|2|
2019|Al3x|London|UK|2|
2019|Noreen Farooqui|London|UK|2|
2020|Tahera Begum|London|UK|2|
2019|Virginia Pavel|London|UK|2|
2019|Burcu Biltekin|London|UK|2|
2022|Lakshmi K|London|UK|2|
2019|Aurelia Bejenari|London|UK|2|
2019|Suha|London|UK|2|
2021|Rohit Lohiya|London|UK|2|
2020|Callum Henderson|London|UK|2|
2021|S D|London|UK|2|
2019|Noveen Osama|London|UK|2|
2022|mihaela mihaela|London|UK|2|
2019|sonia peterkin|London|UK|2|
2021|Eddy SW|London|UK|2|
2022|J T|London|UK|2|
2022|Srikanth kumar|London|UK|2|
2021|Floyd Andrew|London|UK|2|
2019|Ayesha Rahman-Bashar|London|UK|2|
2019|Miss Shenanigans|London|UK|2|
2019|Samanta Grigioni|London|UK|2|
2020|A O|London|UK|2|
2023|Judy Ramos|London|UK|3|i find that this h&m is not layed out very well. they hardly have any clothing to choose from for boys over 8 years old. the options were very poor and same for ladies clothing. styles are very boring and i have not been able to find anything i like in this place. h&m used to be my favourite store but i haven't been able to find anything i like for months! there weren't many to choose from.
2023|Obaida kotainy|London|UK|3|this is a big store and they usually have a huge collection of clothes. the prices are usually affordable. the staff are helpful and try to find the clothes for you if you have any difficulty.
2023|AJP|London|UK|3|nice big store, missus couldnt find anything she liked bar the home section. mens section was pretty poor tbh from style to quality and 60quid for cargo bottoms.... have a laugh
2022|Flory Glory|London|UK|3|it was massive as they have 1 on each level. i got there around 5:30pm and they close at 6pm so i did my shopping then it was 5:58 that's when the security came to me pushing me to get out like he would literally intimidate you to get out even when i had something to pay for. they clothes are okay but the nice ones are hidden so you have to spend a lot of time looking.
2022|Sibrega|London|UK|3|store it is impecable, although i wont give full stars as i think full experience isnt just about presentation of the store which was great, although girls at the cashier were chatting in between then and not paying attention to the customers, lady no did eye contact,, did not asked me for my customer account for point collection, i was basically doing the job for her. not really nice, i believe this needa to be managed
2022|CHARLIE-JULIE HUNT|London|UK|3|brightly lit store with a great layout but their range is simply too 'highstreet' for me. however, you do get what you pay for, is always well stocked and great customer service.
2022|Sumi|London|UK|3|i visited to see the items which i saw online but had a hard time locating. i will most likely continue shopping online instead. there was a different layout but i haven't been to this branch in months.
2022|Abdi Omar|London|UK|3|i love h&m but need who staff work more customer, i saw some them didn't know self check, staff rude show scan them then they left item lol.
2021|Jubes A|London|UK|3|tis was a good experience. they have social distancing in place also the staff are nice. i was waiting in the queue and the young lady at the till was taking forever like super forever. then another young lady came over and opened up another till, she served me and the original till lady was still serving that same customer. so a nice touch there of customer service.
2020|Ilya Belankins|London|UK|3|i shop here often, quality is great and so is customer service except one aspect. usually when i drop clothes off for a voucher i quickly get served and all is good. today, during busy hours, when i went to drop clothes off for a voucher the staff were awkwardly aware of my presence. after waiting for 10mins i got someones attention and i was told i was supposed to get in the queue. luckily i was given a voucher immediately due to the inconvenience which i appreciate. but next time staff should be more aware.
2020|Wagwhat|London|UK|3|came here a few days ago and was bringing some clothes for my friend into her changing room. the lady behind the desk at the changing rooms had a bad attitude towards customers and wouldn't let me go towards the changing room my friend was in and had a go at me for trying. i didn't get her name but she has a strong foreign accent. other staff members were lovely but this one... not so much.
2022|Aaron Macdani|London|UK|3|it was nice and clean. fitting room staff in the top floor, children section were not enough helpful as they supposed to be. i couldn't buy the clothes which i was interested.
2022|Onyinye Ochugbua|London|UK|3|nice shop.... got some pretty stuffs
2019|Cheryl Howard|London|UK|3|i love this store,it's clean and tidy things are easy to find which is just as well as when i was there the staff were very busy chatting to each other and didn't seen to want to help the shoppers! the security guard on the other hand was very helpful. there wasn't any staff in the changing rooms,it was like a jumble sale in there, very disappointed.. more staff training needed maybe!!
2022|Ravendra Singh|London|UK|3|the shop is nice having vast variety of cloths. you can get clothes of your choice here at reasonable prices.
2019|XXX|London|UK|3|good size store, i assumed it would stock a bigger range due to the size of the store. the children department is disappointing as it seems very small. the store is always neat and tidy when i visit. would be good to have more people serving when busy.
2018|A E|London|UK|3|new store is a lot better, but the person who came up with the idea of those annoying curtains in the changing rooms is quite silly. 1) they don't fully close 2) the curtains are closed at times even if no ones inside 3) mirrors everywhere so a small gap is very exposing 4) the shop floor assistant opened the curtains on me while i was changing even though the curtains were fully shut. just save customers the hassle and build standard lockable cubicles.
2023|Ken Milne|London|UK|3|trailing round after my wife who actually bought something
2022|Nat B.|London|UK|3|affordable fashion in general, didn't like how unstructured the jackets were...tried a few, didn't buy any...disappointed as i liked the fabrics/ patterns.
2022|S P|London|UK|3|it's ok , could do with a bit more variety as the stock looks the same every time you visit
2022|Lynda Poysden|London|UK|3|did a lot of walking around trying to find things, didn't appear to have specific areas , to me it was a muddle.
2022|Lilia Chiu|London|UK|3|big store but quene up for fitting room for long time, don't know why they don't open other floor of fitting room as such a large amount of customers waiting
2022|Gurpreet Sehra|London|UK|3|nice store. very big. clothes could be organised better.
2020|Jacqui S|London|UK|3|the stratford westfield h&m is huge, has lots of variety of things, but there is always a huge queue for the checkouts whenever i've been. not great when you were hoping to grab something quickly in your lunch break or before heading home from work.
2022|Ashaya Titus|London|UK|3|was good, got what i needed on a blazing hot day! escaped the masses because luckily this shop is at the front. 2021 beh beh.
2022|colin campbell|London|UK|3|visited to get a gift card.
2023|Inappropriate Prisess|London|UK|3|it's a lovely place
2022|Roberta Hornby|London|UK|3|music is always too loud
2022|London's street food|London|UK|3|wasn't really too happy they didn't have many men's where's especially when it comes to the jeans
2022|Lee D|London|UK|3|good staff not my sort of clothes.
2019|Shh|London|UK|3|okayish range of clothing however zero. staff presence of floors, one has to literally scour the floors to find some help.
2022|Sharat Kapoor|London|UK|3|clothes shop... took mum to return some stuff she bought for my nephew. clothes were too small ... growing baby
2022|just_for_fun 786|London|UK|3|nice stuff but too much busy when i visited.
2022|imtiyaz|London|UK|3|not a good collection
2022|Rakiya Charles|London|UK|3|very busy and the best lines often sell out quickly.
2022|Margaret Reed|London|UK|3|needs a new designer. the clothes are a bit boring nothing i'd really want to buy
2022|Massimiliano D'Amico|London|UK|3|not bad but can be better quality and style
2019|Abu 'Ubaydah|London|UK|3|was always a good place to shop. something has changed though... probably the economy has affected the life of these places
2022|sowmya d|London|UK|3|no one to ask for help.
2021|Kam|London|UK|3|i like this shop. but why does the candles have no smell when burning
2019|P J|London|UK|3|like their ranges. my favourite cargo trousers. great comfy casual gear
2018|Beck|London|UK|3|ridiculously long queues, worse than store before. would be nice to see actual takes not crop tops so much.
2021|Deborah Matthews|London|UK|3|nice shop but size are small so get one size bigger
2017|Ken Tang|London|UK|3|clothes can reasonably priced but it's just too busy and hardly any staff around to help.
2022|Lucy Etherington|London|UK|3|not a huge range of clothes but good customer service.
2020|Izzy T|London|UK|3|like all the h&m but i found there all i wanted so it is a bigger one.
2020|K H|London|UK|3|the staff members gathered up and talking about what he is going to be cooking tonight and everyone (other staff) are ganged around him and laughing with each other rather than helping customers. one lady asked for different size the worker goes it's all sold out. but soon as the lady walked away this girl in scarf said to another colleague man i can't be bothered to show her around there some more people's. overalls there was plenty of staff but not hard workers they were useless for the customers services.
2022|61 growing old disgracefully and Going to enjoy it|London|UK|3|i been a here a few time but sadly couldn't get help from the staff
2020|adriana ghetau|London|UK|3|the music is too loud makes it hard to shop at least for me...wasn't able to find the jeans i wanted and such a shame no student discount
2021|Najaah Ahmad|London|UK|3|1 lift for all the mummies with buggies and the staff. not really helpful
2022|Simon Rarih|London|UK|3|good but they need to do a lot
2022|idris soaga|London|UK|3|good prices, service is none existence
2021|Salma Khatun|London|UK|3|did not have what i was looking for. the boys section is so small.
2022|Rahima S|London|UK|3|not much decent clothing in the girls range.
2022|sheila morgan|London|UK|3|like all h&m clothes are daily priced.
2022|Ali Madab|London|UK|3|nice job
2020|Mrs T “Shoppers little helper”|London|UK|3|great for girls clothes, not so much for boys
2021|Monica Francine Jose|London|UK|3|not so organised.
