review|class
"this h&m hassomany choices and varietiesjuat that the guy who was handling the trial room was very impolite and rude. as me and my sister were planning to enter the trial room to try the dresses he stopped us saying we can't go together which my sister did not understand what he was saying as other h&m stores always allows plus we had a baby. as she moved ahead he said "" do you understand what i am saying. sorry what is this way of speaking with client asking do you understand.? at this i was very surprised to his way of talking with the clients. sorry to say but please train that guy how to speak with clients and to use polite terms and gentleness in speach than trying to flaunt his style and rudeness. i lost the mood to even buy the clothes and i just tried them and hand it over to him. he needs to tone down his way of speaking. i don't know his name but he was speaking italian and had dreads hair. i wanted to complain right away but was so annoyed and upset that i just walked out of the store."|0
"hello, yesterday at 4.15pm while i was looking at selling clothes, someone stole my wallet from my bag. i immediately noticed your security guard that were near the exit . he wasn't helpful at all, just said"" what can i do?"". you should have cameras and view the recorded immediately because the thief was still in the shopping centre and even in your store to rob some of your other costumers."|0
absolutely appalling customer service!!! would never shop here again. this is the flagstore in london and was shocked to recieve such poor customer service by its sales assistant. waited in the queue for more than 20 minutes on the main floor with only 3 sales assistants on the till with over 20 customers waiting to be served. when i eventually reached the top of the queue one the sa's signed out leaving only 2 members of staff on the tills. what appealed to be a manager, mumbled over tanoy for other sa's to come onto the tills, no one arrived, the music was also too loud. waited a further 10 minutes to finally be served with what was an insensitive and crass sa. when i complained to her she was unapologetic, inconsiderate and unconcerned with the fact that loyal customers had been waiting for more than 20/30mins. wouldn't recommend this store in a million years. its a shame as h&m clothes are lovely and as the flagship store that represents london/england it has been thoroughly let down by its lack of well trained curteous staff. p|0
the staff has forgotten the tag on the clothes,didn't realised until i got home. so i had to returned and waisted 2h traveling because of staff mistake. the manger has just appologies,belived it should have been fair to pay for my time|0
rubbish customer service who laugh in your face for mistakes they make very unprofessional staff need training on communication and manners|0
i went to westfield stratford i always enjoy shopping at h&m today i went to the store i been served by lady called diena i bought two item to exchange one item was over 27 days i am only allowed to exchange i said that's fine when i bought new clothes she lift it on the and asked me to pay the deference then i said why did you not exchange she said in a rude way i already made the transaction i said then you have to refund this trouser and then i can exchange the item she gave me a dirty look i said you waste my time and yours time she rippled back in a rude way if you are not happy leave your feedback on the website and then i said you are rude can i see your manager she called the manager i said she is rude to me guy working next tell his name was t.j response was to me you are rude i saw you manger standing out there and doing nothing and everyone in the shop are watching us i said this is very unprofessional manger didn't say nothing apart for that what need to do i said leave it and he said its fine you can go lady i said i think your staff need costumer service training while i am leaving dienien gave me a dirty smirk and no apologise.|0
very very slow on the tills. lack of staff. if paying in cash is a nightmare waiting ages just to pay for 2 things|0
i happened to venture into there new store in stratford,. why do they put woman's clothing next to the mens ? i found the men's section cluttered and disorganised with a boring selection. i was informed by the staff when i managed to find one, to look online. what!!! poor customer service|0
whenever im buying anything from h&m the clothes after 3-4 weeks are not suitable to use anymore. plenty of holes everywhere etc. can't believe that primark is way better in terms of quality...|0
nice style poor poor quality for the prices they have!|0
hate this store.the security guard is useless and the store manager on the bottom floor is so rude and racist!! my phone got stolen and store manager didnt care made me go through more stress. never have been treated with that much disrespect i use to love going to this store before. never again!!! made a complaint to head office!!|0
staff can't calculate, i bye 3 for to, 2 of them 6 one 8, and i returned that from 8 for oder from 6, and payed them more re money how is possible i will never shop for h&m on stratford|0
poor shopping experience as the staff were non existent and disengaged.|0
ordered something on-line. wanted to return at the store as item not as expected. was advised i need to contact with the customer service after paying for the parking and spending time in a long queue. very disappointed.|0
very poor customer service , was there on friday 2 november 2018 between ( 6/7pm) , they had no bags in store . manager just keep saying sorry, no action , top of that they charged me 5p for a small paper bag ???? i thought we get charged just for plastic ?? felt so horrible , i had lot of stuff couldn't fit everything ( jackets / jeans / jumpers ) in small 5p bags . end up carrying everything in my hand ... so discussed|0
clothes are nice but music is far too loud. i see people leaving after having their eardrums burst just by walking into the store.|0
closing the fitting rooms att 45? make me sad that costumer service is this bad. not that sad about the fact that i'm not coming back tho.|0
came in for click and collect. after waiting for 10 minutes at the pick up point i had to queue up in order to speak to a member of staff. who then sent me back to the collection point and after a few minutes a very rude girl name adina came and made the experience even worse. i am extremely disappointed with the level of service provided.|0
rudest workers i've ever had to interact with.|0
everything in there is designed to make you feel ugly. it is terrible. do not enter.|0
shelves look like a jumble sale. staff rude, pushing past customers and grumpy at checkouts|0
google map pin is in the wrong location. this store is in westfield stratford. not near liverpool street station|0
plenty of metallica t-shirts but no metallica hoodie. disappointed|0
not great|0
worst hm in the world, staff is rude, the place is a mess, don't go there for the love of god|0
it was awful experience during covid. especially, manager erica!|0
every time i've popped into h&m, i've come across a store with no sales assistants.|0
very busy, nothing special, lots of sales but nothing that jumps out at you|0
not a great selection of man's clothing while female have two three floors..|0
never there!|0
very bad customer service, staff not professional, no manners|0
is there any staff who actually work here|0
rude staff in fitting rooms.|0
poor service|0
didn't go there|0
loud music makes it difficult to hear and be heard.|0
worst company|0
not there|0
too crowded|0
small size|0
rubbish|0
this is the wrong location!|0
absolute chaos|0
staff were so incredibly rude as if the atmosphere in and h&m isn't already awful enough. the new self check out is ridiculous and i felt judged by staff for not being able to use it properly like i'm supposed to know the procedures.|0
very little choice, no helpful staff in sight|0
they make poor quality clothes|0
"i visited on the 24th and bought a few items. the store itself was clean and everything was easy to find. i went to pay in the men's section. i was third in line. a member of staff highly encouraged us to use the self-service rather than speak to a person, quickly explained the process, and said she'd get me a bag. i scanned the first item, no luck, had to wait for the staff member. she's next to me, explaining to a man and woman how they're not using it right. it's at this point the staff member says, ""let him do it. men are better at it."" i was mortified. the staff member then has to stand and scan all my items for me as none of the barcodes work. she walks off as i pay and i am left waiting for a bag. i have to alert the cashier i originally wanted to buy from and they get me a bag instead. all three people could have been served by the cashier in half the time if this staff member had just left us alone. upon arriving home, i realize they haven't removed the security tags from two of my items. i now have to go back out (i'll be going to my local one in norwich, not this one!!) and get the tags taken off before i can wear my purchase. awful service and i can't believe what was said by your staff."|0
the cashier and some of the staff were racially profiling customers (black and brown mostly) and treated them differently had a very bad experience|0
very disappointed with 16th century fashion that has arrived at h&m. quality of clothes is a lot of the time questionable. however the shop is tidy and staff is nice|0
i wanted school uniform and they had nothing. thought they should of had a range at least. its a really big store.|0
"beautiful range of clothing and sizes the only problem was the staff at the tills. approached the tills with my items and two young girls were completely ignoring my presence while serving me talking about harry potter and what houses they were in the only thing i got from the girls were ""thats 15"" and a ""bye"" after i paid. either the manager didn't care for how they treat customers or they just have the poorest customer service skills ever and should the company should reconsider their staff or get them retrained"|0
store layout makes no sense, it is hard to find items and the never seems to be any staff on the shop floor to ask for help.|0
hardly any staff and only has plus sizes online and not instore which is quite discriminatory for modern day.|0
am starting to not like shopping here.. they seem to cater to people that only wear slim fit jeans pants.. i can't find a boot cut or straight fit jean's pants to safe my life.. and they only had one jacket line like really summer is over where are the winter collections?|0
"you'd think with this new much bigger store they'd have more staff but they don't. there's always a queue on every floorostly because these rarely more than 3 people on the check out. because it's a new store staff don't know where anything is and seem unwilling to show you. i was simply directed to ""upstairs"" when i asked for something. went check out and even tho the queue was more than 20 people deep, someone actually jumped off the cashier to hang clothes up. very annoyed!"|0
untidy shop with no customer service|0
don't like self check out. i'd rather be served by a human.|0
disgustingly busy, but it's the weekend. good range of clothes, even if not my style. the service was slow, even for a weekend. i'd avoid this place at all costs.|0
the h&m home section in the stratford branch is beautiful, but the staff in the home section are so unwelcoming. no smile and they make you feel awkward. really puts me off going there.|0
it so so there is not much things in a.y stores|0
although this branch has homeware, nightware, lingerie, sports and the usual men, women and children's, i was not impressed. been to better laid out and stocked branches.|0
the quality of clothes has gone down drastically since the pandemic, what a shame, it used to be my favourite store|0
never staff to help you. it's almost like they are shortly staffed|0
not much for grown ups here.|0
would give a 4 if they didn't leave security tags on items second time a row!|0
customer service is terrible!|0
good collection but bad customer service during the christmas, she didn't even look at me, and it wasn't busy.|0
it's good|0
nothing available over a 12. staff difficult to find and disinterested.|0
no options for petite taille|0
poor customers service|0
goood|0
always busy|0
the store is large and has a variety of goods, but the prices are very high|0
good prices but looking for clothes by size on the label is a struggle|0
very bad customer service at this store in london. if you are not in a hurry go to the h&m store at oxford street. the guys standing at the paying counter made us go back in the line after standing for 15 minutes for no reason. he just did not look at the line and moved us back. customer rep or sales guy name is talal. when we brought this issue up there was an indian/pakistani guy who was super rude with us and told us you should just break the line. i would suggest visiting better stores around with better customer support. pathetic after spending almost 150 pounds this was not worth the treatment.|0
terrible staff who were openly giving out about doing their jobs. no assistance with self-checkout. didn't see anywhere for tag removal and ended up leaving with tags on my items. alarms went and the security guard just told us to head on. he didn't think for a second that someone who has never done self -checkout for clothing may have left a tag on. great stock but the staff are incompetent.|0
"really disappointed with my experience at this store today. i saw 3 very sad looking plants reduced at 3 at the ""last chance"" section. i thought i'd save one and get a bargain at the same time. when i went at the till the manager rudely explained these were placed there by mistake and cost 22 each. i find this extremely overpriced for a dying plant. and there was lot of other sad looking overpriced plants too. i would not recommend plant shopping from h&m."|0
"i really love this shop so much however i went to return a bed set recently and was quite shocked at how rude the staff were. they said i couldn't return it because it wasn't in its packaging - she asked me i wanted to return it because it wasn't the right size. i said no it didn't suit my room and she continued to say ""you should really know the size of your bed before you purchase"" - first of all not what i said and second of all, so rude? she then said i can exchange it why is it now acceptable for an exchange and not return?"|0
seriously the most rubbish lint roller i have ever used!! cant even tear it properly where the dotted line is. cheap things always turned out to be more costly and makes one more angry.|0
had nothing instore worth buying. looked on every level from all around the shop floor- a waste of time. ended up going to a completely different store where some nice items of clothing were purchased.|0
dangerously overcrowded when i went there yesterday. h&m home store was packed and no one was following the one way system. children running around. staff and security guards did not social distance from customers. store was packed with so much merchandise and it's not even possible to walk past someone without being face to face inches away. and can't order online since lotsa stuff are out of stock in the app or online. disappointing shopping experience all round.|0
took forever to find a changing room that opened. the staff working in the changing room was super rude and dismissive.|0
the secutity man is very rude. i was simply asking where can i find kids corner and he looked quite annoyed. he even kinda yelled at me. i know i see the sign of kids but was so in rush just wanted to get quick help. he ruined my shopping|0
service in women's wear was good, staff were quite helpful, however the staff up in menswear were so rude and unhelpful. service made me feel very uncomfortable and as though the staff were being forced to work. really disappointing considering this is one od my favourite stores. will not be coming to this branch again.|0
very disappointed that h&m+ has been discontinued in store and is only available online! this is pure discrimination to women size 18+ who will now not be able to shop at your stores at all. disgusting!|0
was moved on my a member of staff as i was resting (heavily pregnant with twins) told to go to the changing rooms. terrible.|0
my experience at stratford shopping branch of h&m started fine on the day i shopped. however, i soon realised that one garment was scanned twice and when i went back into the store to rectify the mistake. the manager made me feel as if i was lying and she looked into my face and said let me check the cctv. she came back without any apology just''sorry for keeping you waiting i will refund your money now. is this the same treatment given to all customers? i will not be shopping in that branch again|0
i used to love h&m and shopping online. but recently when i ordered a parcel, it was supposed to be delivered by company yodel. it was terrible, they didn't deliver me anything, so i had to go all the way from london to kent to take my parcel on my day off! i wasted whole day and money on the train tickets. why this company even exists if i had to do their job? i mean, h&m was closer to me than the depot... i won't be shopping in h&m anymore until it doesn't work with this terrible company.|0
no clear signage for what floor men's department was. get down there and the service was so slow. took over 10 mins to be served and i was first on line!!!|0
loads of customers are dissappointed by yesterday's balmain event. poorly managed staffs who totally misguided customers. i expect floods of complaint n reduce their stars to 0 bcoz this store will badly damage h&m image in long term.|0
placed an order 2 weeks ago and i havent even received an email saying it has been posted out yet. was told it would arrive next day delivery. after all, that is what i paid for. avoid at all cost you have been warned.|0
staff not helpful. i asked at the checkout if there was another size of the item j was buying. girly was rude asked if i looked around the store. then said no.|0
poor and rude customer service from staff in the menswear department on floor 1 of the h&m clothes store on regent street. a lot of attitude shown to not only to myself but others who were being served in all three queues. how all three staff members got jobs in customer facing roles astounds me.|0
i was in the queue on 4th floor and there was 1 lady only in the cashier. i decided to try the cashier on 3rd floor, it was closed. on the 2nd, closed. so i went back to 4th. still one lady and when a second one came the first one left. at least 8 people in the queue. it took longer for me to pay than to find and try it on the dress i wanted.|0
"yesterday 26 of december 2015 so hard to gave 1 star """" they need to put option of """"mines"""" yesterday i had a shopping on the stor and i put all my shopping to the cashier .. i paid... and i want to get an other pair off shoes , i said to the cashier i will get an other one... i went i came back .. i didnt find the first pair wich i already paid..??? she was looking everywhere.. was not ther .. cause the cashier she is new and she is not even talk proper english .,;;; she get an other lady to ask her for help .. that lady said she will tcheeque the camera !!... she came back saying in the camera looks like i took the shoes..and she said she need to tcheeque in my bag !!!!! she was thing to find the shoe's in my bag .. she is such a stupid ... i could not enderstand that .. and she had a look and no shoes was ther then its my turn to play bad words ::: such a lier she said she saw me in camera taking the shoes and she didnt see wer is the shoes and she said the shoes is not on the store ! do i have magic stupid cashier . she was sckinny with long curly hair .. dont worry i m going on holiday and when i back i will get everything sorted by lawyer..."|0
changing rooms closed, so i'll buy elsewhere|0
this shop sucks. i was told to leave or carry my dog (she's 22 kilos, btw), though no sign at the entrance said so. they're just plain prejudiced, in here.|0
"how can this company say they are ecofriendly and ""conscious""? when they give you large plastic bags!!!! this is pure greenwashing"|0
picked up order.took longer than looking round shop for items.need to improve|0
very bad service, nobody was willing to help me find the size i needed, some members of the staff could barely speak english and others were really rude. disappointed.|0
your shop hours on google say you're open until 10pm on a saturday but you were closed by 9:20.|0
slowest service i have ever experienced. really not worth visiting the store.|0
clothes are terrible, customer service are useless and staff members needs to learn to take the sacurity tag off|0
the garments looks the same year after year.... the staff never says hi... the sizes weird... hmmm|0
"men's department let me quote my boyfriend: ""when you got 5 levels, you can shove the men in the basement in only one floor, in the dark"" the layout was a disaster, i think (as a woman) there should've been broader choices for smart/formal wear. but the worst part was the darkness and no mirrors. the lights were so dim, i kept seeing dark green whenever something was actually a black piece of clothing. and yes: - no mirrors. no actual mirrors. whoever was the interior designer, should get fired. they decided the columns of the building should get covered in ""mirrors"". while this works relatively good in the upper levels, in the ladies section - bright, proper classic mirror ""coloured"" mirrors there-, underground this ""mirror"" is one of those dark-grey/black reflective surfaces which already can't reflect nothing because of the poor lighting!! and besides - even if the lights were turned on properly (what's up, saving power? why not candlelight?...!) it still isn't a plain mirror, it is this dark tinted stuff! how the hell do you expect people to see if the blue matches your eyes? ... shame that in a world-class shopping street such blasphemy exists from h+m!! *insert here got shame .gif* good day!"|0
be careful with sales, they put full price items in between and then act like they don't know anything.|0
not enough for men|0
1 star for unpleasant staff. have been here 3 times in the run up for christmas, and they may be overworked, but been always rude. an example being: there isn't a living soul at the tills in the men's department, so you go one floor up, where they tell you, that the men's are one floor down, but in the end they do the return just the same. another example: you queue for the till to pay, where there are three cashiers in action, then after all the waiting the till gets closed by the shop assistant right in front of you, no explanations or apologies given. guys, this is really poor, but you'll be happy: i'll spend my money elsewhere next time.|0
staff members lost their tongue, they can't say hello to anyone.|0
a really poor selection of clothes in plus sizes... what a same..|0
terrible customer service by manager on duty|0
staff here must hate their job, and it shows|0
very bad|0
not the home store|0
to much people|0
racist staff|0
worst store|0
fast fashion|0
the music is so loud i suspect they're somehow trying to keep customers away i couldn't even have a proper look around the store because it was unbearable|0
"you are obliged to leave your things with the ""responsible"" of the fitting room and when you leave she simply loses your necklace and still blames you, as if you had lost the necklace. they should review the staff urgently!!!!!!!"|0
ummm idk why no cloth is fully organised and you can see 8 different design of a pants in same rack also if you want a different size the answer is no-no|0
clothes wern't displayed in an appealing and easy to find items. sizes were very limited and helpers were very limited in number. i won't go there again|0
"i went to buy a bag for my mum (xmas present) 3 weeks ago. when i went to pay for it, the cashier lady who i think had a high status in the shop (manager or something) nodded to another worker next to her as if you say ""look at this teenage girl buying this womanly bag"".i was going to say something but i was in shock. i had done nothing yet encountered such rudeness from staff for no reason ! i just looked at them but they just carried on laughing and giving each other looks. i had been to the store a few times before but after that, i'll happily spend an extra minute to walk to another h&m. they aren't the only one."|0
music in this shop is so loud i think the staff mistook it for a disco. had a very hard time shopping with such loud noise in the background, couldn't hear anything. if you've got low noise tolerance or are on a spectrum best to avoid it.|0
i do not like shopping. although i must say i do like that they let you charge your phone while you stop.|0
men's department needs improving. went to pick up a few cheap polo necks. had to look hard through the rail to find one without a mark on it. thought i'd found one, got to the counter to pay and guess what.....noticed a mark on the sleeve. cashier also left a security tag on one item so the alarm went off at the door and i had to go back inside and have them remove it. a big store with a decent selection of the usual h&m stuff but not a great experience.|0
store opens at 1130, but checkout counters don't open till 12. this isn't clearly marked though. the checkout counters are also inconveniently located.|0
needed a carrier bag as the one i was given had broken. was then quizzed about which items i bought before having to purchase another carrier bag.|0
for a flagship store in regent street, it's lacking in 'customer experience' and speciality.|0
not the best one around..small men department|0
small section for men|0
poorly organized|0
poorly stocked|0
always a queue at the till|0
same lines all the time|0
awful quality|0
basura trash|0
i loved these pants like loved them. i literally wore them a few times and just purchased them a month ago. but this morning when i already had my jeans on and ready to go i bent down to grab something and they ripped right by the pocket. i tried calling customer service but they said it would be difficult to do an exchange because i didn't have any tags(but i have the receipt). so yeah i won't be purchasing these or any of these again.|0
it's a sweden brand, which we boycott because their racist double standard government they let extremist burn the holy book|0
only 2 cashiers working in the busiest time of the year. absurd|0
had an unfortunate experience. bought three pieces of boxer shorts for the price of two. one of the pieces of clothing was damaged when i opened the box, and i obviously wanted to change that pair for a new one. however i had to pay some dollars to get a new pair of shorts.|0
i bought a shirt that said it was supposed to be 12.99 but the total came to 18.04 and it said i bought 2 items but i only bought 1|0
actually bad customer experience. wont spend time and money here. i know customers are a lot today but that should not be not an excuse.|0
worst experience. never visit. anthony the manager is so disrespectful and abusive.|0
i want to know why you have 2 floors, ample men's clothing, ample women's clothing, a section for accessories, even a housewares section. but 0 plus size options. it's really overdue for mainstream retailers to be inclusive. i don't need to try on a duvet cover, i do need to try on clothes that fit my body. i shouldn't have to explain to a global retailer in 2019 how awful it is to be having a fun shopping day with your friends on newbury street and need to sit out when they hit your store just because you're not the same size as your friends.|0
this store's manager is the most impolite employee i've met at h&m. he treats customers like garbage; as if he were doing a favor to them|0
yesterday 10/21 around 11am i had a bad encounter with a sales associate/supervisor working the fitting room. i had several garments including a hat, to match an outfit i was considering in purchasing. associate stated i was not allowed to go into the fitting room with the hat to try on, not knowing i previously worked at h&m and know the fitting room policy. so i asked him how would i be able to try on the hat with the outfit then, he stated i can go in the fitting room put on the garments i want to try on then call him and he will bring the hat, then take the hat back. which did not make any sense. later after i purchased the hat he didn't allow me to try on, i informed him i previously worked at h&m and know that you are allowed to go into the fitting room to try on hats with out being monitored, i had ask to speak to a supervisor to make a complaint not knowing he was actually the supervisor on shift. sales associates including supervisors should never profile a customer like that as you can lose sales. yes i looked young and i am african descent doesn't mean i plan to steal a $12.99 hat. which everyone knows anything over $9.99 has sensors on them. he told me if i still have an issue just call customer service to make a complaint and have a nice day (sarcastically). employees like that should be addressed and properly trained on discrimination and customer service skills.|0
you mean to tell me i can go to braintree with less selection than a flagship location and find just what i need? horrible service hot and not shopable. clothes on the floor and customer service is -100. i hear the emplyees complain about how they hate it there and cant wait to leave. obviously they need more people that loves there job. and can help me find a basic shirt without having to ask 10 different people. gotta love low budget fashion|0
horrible experince! the lady at the fitting room was so awful and mean. i had over seven items and she said that i would have to try on the rest of the items later which i was completely okay with. later i was underdressed so i politely asked if she could hand me the other items in exchnage for the items i had already tried on, she looked at me and said that i would have to come out and get them myself! i was liteally five steps away from her! later when i stepped out to get my stuff, she asked how many items i had i said six and she would not believe me so she made me, so she counted all the items herself. i feel offended and never had such an expereince at h&m.|0
-collection of clothes is [personally] not pleasing. -the layout of things makes it difficult to move around. -employees could not found anywhere when their help was needed.|0
rude staff, pathetic collection, over priced|0
while purchasing a white hoodie the cashier dragged it on the counter top so now theres blue pen marks on the back ...........|0
inefficient stuff, the female manager is extremely unhelpful with the refund issue, super disorganized store management|0
you should really provide a toilet for consumers.|0
very slow customer service store is a mess !!|0
they suppose to close at 8:00 pm on sunday and i went to the store about 7:00 pm and the security guy told me they were already closed|0
i was seriously disrespected by a male employee. better to just order online|0
no chairs in that place.|0
rude staff, bad quality of clothes. keep away|0
they always open the doors late!!|0
stupid and disrespectful employee|0
look for another h&m|0
they offer horrible service. they can't refund with apple pay and the guy told me to get a temporary physical card from the apple store. but the guy lied because apple store doesn't have such service. i will never buy anything from the h&m.|0
store manager assume costumers as liar|0
lack of a lot of items and extremely unpleasant sellers|0
they need to hang their long coats/dresses somewhere higher. this is gross. buyers, beware if purchasing long items like these. otherwise, it is a decent h&m with a large selection of items, and a great team of employees.|0
this place has a really good collection on a random day and no good collection at all on other days. considering that this place is always crowded and billing line is always huge, they don't have staff on the first floor for billing ok weekdays which makes it look like it is crowded all the time|0
long wait in line even with 4 registers open. same as zara down the street. be prepared to wait. the mostly gen z workers just move extremely slow and unmotivated. asked for a bag, she forgot to give me one, and then bowed to me buddhist style and got it passive aggressively. weirdest interaction i've ever had in a store.|0
"extremely rude and unhelpful staff working in the fitting rooms. also, it's impossible to go there with friends to see wheather things look good on them or not because ""it's not allowed to go into the fitting rooms area"", which is weird coz it's allowed in pretty much every single hnm i've ever been to."|0
only went in here for a few men's tees. it was so crowded you could hardly move and huge lines for the fitting rooms. clothing racks are over-flowing and crowd the entire store, so not much room to move through the store, so good for a quick in-out visit, but wouldn't be very relaxing to actually browse around. got the tee's we needed though.|0
sure it's big, and has a great range, but the floor service was dismissive and unhelpful, and the checkout service was appallingly slow, and the girl just stuffed the clothes into a bag without even folding them. but to be honest she was much more interested in joining her colleagues in conversation about anything but what was happening in the store. h&m needs a secret shopper to kick the backsides of these lazy staff and protect the brand.|0
chronically understaffed and extremely hot and humid. i almost passed out waiting in line to check out.|0
if you need clothes that are moderately overpriced, this is a fine choice. but generally the culture and values that they project seem to emerge from this sad combination of mindless fashion, body shaming and copratism. and one can only assume that any money you spend there will go towards advancing those unfortunate values.|0
i like this store because they have children cloth, but i had several problems here, like they left the alarm tag on several times and they didn't put all the items in the bag (that happened to me twice, once i paid for a shirt which wasn't in the bag and another time i thought i'd bought a shirt, which wasn't in the bag when i got home... so many mistakes here!|0
