,tweet,sentiment
145,"@pointyhound hi there! yes, please feel free to visit our h&m store to participate in our garment collection initiative. have a great day!",POS
146,@hm_custserv despite repeated complaints no response from your side for poor amenities . tell me please shall i escalate the matter to consumer court .,NEG
147,@rebeccadevin8 hi there! for us to safely access your account and look into this for you please dm us with your email address and full billing address. speak,NEU
148,@hm_custserv my order hasn't arrived 51763395560,NEG
149,"@toodlingdown hey there anna! could you please send us a dm so that we can assist further with this? thanks, and speak soon!",POS
150,@_jonathanstreet hey there johnny! we're so sorry to hear that your order hasn't arrived yet. could you please send us a dm so that we can look further into ,NEU
151,@hm_custserv hello! i ordered something on 27 feb (uk) and it hasn't been despatched yet. i go on holiday tuesday 7th and have bikinis etc in the order. can ,NEG
152,"@hm_custserv do you offer alternative delivery providers? unfortunately for me i paid extra for 'next-day' delivery, but as it was shipped with #evri it hasn",NEG
153,"@hm_custserv hi, before i lug some carrier bags into town with me, could you confirm that you're still doing the voucher for clothes to recycle? i can't find",NEU
154,@rebeccadevin8 hey rebecca! we're so sorry to hear that you haven't received your order yet. could you please dm us so that we can look further into this for,NEU
155,"@hollyboz94 hey there holly! we're so sorry to hear about this. please do send us a dm so that we can assist further! thanks, and speak soon!",POS
156,"@cjane2102 hey christina! we're so sorry to hear you haven't received your order yet, could you please dm us so that we can assist further with this? thanks,",NEU
157,"@ayesh2306 hey there ayesha! could you please send us a dm so that we can assist further with this? thanks, and speak soon!",POS
158,"@hailieybieber hey there holly! could you please send us a dm so that we can look further into this for you? thanks, and speak soon!",POS
159,"@hm_custserv i have shared the details again in dm, kindly check.",NEU
160,"@avnimittal13 hello there! we are sorry for the inconvenience and understand your concern regarding the refund. request you to please share your full name, r",NEU
161,"@egeaus para que podamos ayudarte mejor con este problema, envianos un dm con tu nombre completo, correo electronico y numero de telefono. chateamos pronto!",NEU
162,"@hm_custserv yea, the same item was on the rack. could've just switched it out. also, it wasn't pinned to the mannequin. i took my money elsewhere! best wish",NEU
163,"@unspokenbeautii hi! we do have to keep the items on display for the season. also, we pin items to the mannequins to best display our pieces. you can ask the",NEU
164,@hm_custserv https://t.co/vltfevvpl8,NEU
165,@94wasagoodyear hi there! you have some great taste. we're happy to check on that jacket for you. which country are you shopping with us from? chat soon!,POS
166,@hm_custserv encuentro oceania o parque via vallejo. es que ninguna me aparece con la opcion de recoger pedidos,NEU
167,"@hm_custserv as i said, unable to dm you. will drop an email.",NEU
168,"@5onam hi, for your own personal security, we discourage from sharing personal order details, such as your order number, on a public platform. please dm us y",NEU
169,@hm_custserv not able to send a dm unfortunately. my order no. is 26715149952 (online from the app in india) in case that helps.,NEG
170,"@5onam hi, we haven't received your dm regarding our previous request. if you would like more help with your query, please dm us for further assistance as we",NEU
171,@hm_custserv i have been in touch with customer care since january 2023! we're in march now!,NEU
172,"@toddaultiii @hm @hm_custserv nasta generations marknadsplats, kanske nagot for er att ta en titt pa, aven era outfits pa avatarer? https://t.co/pyxtk0kgfe",NEU
173,@valbenmusic no problem at all! have a great day!,POS
174,@hm_custserv thx,NEU
175,"@valbenmusic hey, fashion friend! we're loving the color of this look. thanks for sharing and brightening up our day. take care!",POS
176,@hm_custserv hi i have messaged you,NEU
177,@egeaus hola omar! no todas nuestras tiendas cuentan con este servicio. contamos con varias en cdmx. comentanos cual seria la mas conveniemte para ti y verif,NEU
178,"@soffiee_natasha hi there! sorry to hear this has happened. may we please have you dm us your full name, email address, billing address and order number? tal",NEU
179,@hollywalder hi there! we're sorry to hear that! please send us a dm so we can look into this for you. talk soon!,POS
180,"@younapping hi there, we're sorry to hear your experience was less than ideal. we offer an exchange or refund with a receipt, within 30 days of the purchase ",NEU
181,@hm @hm_custserv i was informed that i will get my refund on 26/1/23 but again unfortunately till today i don't get my refund. i have tried calling customer ,NEG
182,"@yasirsa90366308 hi, yasir, we're genuinely sorry to hear about the issues with your order and would be happy to assist you further. please dm us your email ",NEU
183,@hm @hm_custserv i have ordered from h&m app on 1/1/23 and received it on 3/3/23 but unfortunately 2 of the 3 items are too big to wear so i register a retur,NEG
184,@hm_custserv @hm_custserv i was informed that i will get my refund on 26/1/23 but again unfortunately till today i don't get my refund. i have tried calling ,NEG
185,@ale_hypatia hola ale! lamentamos la demora que ha tomado tu pedido. por favor envianos tu nro de pedido y correo electronico por mensaje privado para verifi,NEU
186,"@georgia23961 hi georgia! we're sorry to keep you waiting! please dm us your order number, delivery address and email, so we can investigate this right away.",NEU
187,@hm_custserv hi i've paid for next day delivery and had no updates from yourself or evri and no parcel arrive.,NEG
188,"@bethdelooze we apologize for the mix-up, beth. when you register your return, please select the item you requested however did not receive and choose reason",NEU
189,@hm_custserv hiya i've picked up and order and the wrong item has been sent. how do i return if i can't select the item as it's not in the order?,NEG
190,"@vickysm41390777 hi vicky, we completely understand your concerns with your latest order. please dm us your email, full name, and delivery address using the ",NEU
191,@nancymalcolm_x glad to hear! appreciate the update.,POS
192,@hm_custserv all sorted now thank you x,POS
193,"@nancymalcolm_x uh oh! this isn't what we like to hear. please dm us know your order number, delivery address and email, so we can look into this right away.",NEU
194,"@rachel20785611 hello there, we're so sorry to hear this! we understand how disappointing this is given the order was needed for a very special event tonight",NEG
195,"@efk222 fraydi, set your alarms as our highly anticipated ss2023 collection will premiere today at 10am: https://t.co/zq0ejpb2ba",NEU
196,"@hm_custserv order number; 51758731970 ordered 2 days ago, says delivery in 2-4 days but still not been despatched?",NEG
197,@ingagubeka we absolutely adore this look!,POS
198,"@hm_custserv the app has kept crashing for the past couple of weeks, even after installing the most recent update, means i can't browse new in for longer tha",NEG
199,@hm_custserv when is the studio collection dropping online in canada? thanks,NEU
200,"@hasmeanjasmine hey! sorry to hear this. can you send us a dm with your full name, email and your address so we can look into this for you? speak soon!",NEU
201,@ldeaplum oh no! this isn't what we like to hear. kindly send us a quick dm with more info. chat soon. https://t.co/h4sdlkm1lw,NEG
