56|@hailieybieber hey there holly! could you please send us a dm so that we can look further into this for you? thanks, and speak soon!
57|@hm_custserv i have shared the details again in dm, kindly check.
58|@avnimittal13 hello there! we are sorry for the inconvenience and understand your concern regarding the refund. request you to please share your full name, registered email address and the billing address via dm (direct message), we will be happy to help.
59|@egeaus para que podamos ayudarte mejor con este problema, envianos un dm con tu nombre completo, correo electronico y numero de telefono. chateamos pronto!
60|@hm_custserv yea, the same item was on the rack. could've just switched it out. also, it wasn't pinned to the mannequin. i took my money elsewhere! best wishes!
61|@unspokenbeautii hi! we do have to keep the items on display for the season. also, we pin items to the mannequins to best display our pieces. you can ask the manager to take down your info. if after the season the item is in selling condition they'll contact you. best wishes!
62|@hm_custserv https://t.co/vltfevvpl8
63|@94wasagoodyear hi there! you have some great taste. we're happy to check on that jacket for you. which country are you shopping with us from? chat soon!
64|@hm_custserv encuentro oceania o parque via vallejo. es que ninguna me aparece con la opcion de recoger pedidos
65|@hm_custserv as i said, unable to dm you. will drop an email.
66|@5onam hi, for your own personal security, we discourage from sharing personal order details, such as your order number, on a public platform. please dm us your personal details by clicking the following link, or you can email us at customerservice.in@hm.com. kind regards. https://t.co/h4sdlkm1lw
67|@hm_custserv not able to send a dm unfortunately. my order no. is 26715149952 (online from the app in india) in case that helps.
68|@5onam hi, we haven't received your dm regarding our previous request. if you would like more help with your query, please dm us for further assistance as we're happy to help. kind regards. https://t.co/h4sdlkm1lw
69|@hm_custserv i have been in touch with customer care since january 2023! we're in march now!
70|@toddaultiii @hm @hm_custserv nasta generations marknadsplats, kanske nagot for er att ta en titt pa, aven era outfits pa avatarer? https://t.co/pyxtk0kgfe
71|@valbenmusic no problem at all! have a great day!
72|@hm_custserv thx
73|@valbenmusic hey, fashion friend! we're loving the color of this look. thanks for sharing and brightening up our day. take care!
74|@hm_custserv hi i have messaged you
75|@egeaus hola omar! no todas nuestras tiendas cuentan con este servicio. contamos con varias en cdmx. comentanos cual seria la mas conveniemte para ti y verificaremos si la misma cuenta con el mismo o no. quedamos atentos
76|@soffiee_natasha hi there! sorry to hear this has happened. may we please have you dm us your full name, email address, billing address and order number? talk soon.
77|@hollywalder hi there! we're sorry to hear that! please send us a dm so we can look into this for you. talk soon!
78|@younapping hi there, we're sorry to hear your experience was less than ideal. we offer an exchange or refund with a receipt, within 30 days of the purchase date. please send us a dm and confirm your return issue and share your name, email, and complete address. thanks, talk soon.
79|@hm @hm_custserv i was informed that i will get my refund on 26/1/23 but again unfortunately till today i don't get my refund. i have tried calling customer service so many times and every time i was informed to get my refund in one week and also my mail was not replied.
80|@yasirsa90366308 hi, yasir, we're genuinely sorry to hear about the issues with your order and would be happy to assist you further. please dm us your email and delivery address for further assistance. thanks, and we look forward to your reply. https://t.co/h4sdlkm1lw
81|@hm @hm_custserv i have ordered from h&m app on 1/1/23 and received it on 3/3/23 but unfortunately 2 of the 3 items are too big to wear so i register a return on 10/1/23.the items were picked up on 11/1/23. order number - 26439907472
82|@hm_custserv @hm_custserv i was informed that i will get my refund on 26/1/23 but again unfortunately till today i don't get my refund. i have tried calling customer service so many times and every time i was informed to get my refund in one week and also my mail was not replied
83|@ale_hypatia hola ale! lamentamos la demora que ha tomado tu pedido. por favor envianos tu nro de pedido y correo electronico por mensaje privado para verificar que sucede. quedamos atentos
84|@georgia23961 hi georgia! we're sorry to keep you waiting! please dm us your order number, delivery address and email, so we can investigate this right away. hope to hear from you soon. https://t.co/h4sdlkm1lw
85|@hm_custserv hi i've paid for next day delivery and had no updates from yourself or evri and no parcel arrive.
86|@bethdelooze we apologize for the mix-up, beth. when you register your return, please select the item you requested however did not receive and choose reason 'wrong item delivered'. https://t.co/z0mj7uhd7l we hope this helps!
87|@hm_custserv hiya i've picked up and order and the wrong item has been sent. how do i return if i can't select the item as it's not in the order?
88|@vickysm41390777 hi vicky, we completely understand your concerns with your latest order. please dm us your email, full name, and delivery address using the link below so that we may properly look into this for you. chat soon! https://t.co/h4sdlkm1lw
89|@nancymalcolm_x glad to hear! appreciate the update.
90|@hm_custserv all sorted now thank you x
91|@nancymalcolm_x uh oh! this isn't what we like to hear. please dm us know your order number, delivery address and email, so we can look into this right away. hope to hear from you soon.
92|@rachel20785611 hello there, we're so sorry to hear this! we understand how disappointing this is given the order was needed for a very special event tonight. please send us a dm sharing your name, order number, email, and complete billing address. we'll speak with you soon. https://t.co/h4sdlkm1lw
93|@efk222 fraydi, set your alarms as our highly anticipated ss2023 collection will premiere today at 10am: https://t.co/zq0ejpb2ba
94|@hm_custserv order number; 51758731970 ordered 2 days ago, says delivery in 2-4 days but still not been despatched?
95|@ingagubeka we absolutely adore this look!
96|@hm_custserv the app has kept crashing for the past couple of weeks, even after installing the most recent update, means i can't browse new in for longer that 10-20 seconds as it dies every time
97|@hm_custserv when is the studio collection dropping online in canada? thanks
98|@hasmeanjasmine hey! sorry to hear this. can you send us a dm with your full name, email and your address so we can look into this for you? speak soon!
99|@ldeaplum oh no! this isn't what we like to hear. kindly send us a quick dm with more info. chat soon. https://t.co/h4sdlkm1lw
